id,salary,joining_date,direct_manager_id,contract_type
181,$2058.66,6/25/2024,600,Drywall & Acoustical (MOB)
182,$6626.94,6/22/2024,604,Rebar & Wire Mesh Install
183,$8879.74,4/4/2024,608,Drilled Shafts
184,$4675.19,1/19/2024,604,Construction Clean and Final Clean
185,$7593.09,7/29/2024,600,Asphalt Paving
186,$8248.69,7/23/2024,606,Drywall & Acoustical (MOB)
187,$5548.35,8/30/2023,605,Marlite Panels (FED)
188,$3613.27,3/24/2024,607,Fire Sprinkler System
189,$2259.40,3/7/2024,610,Asphalt Paving
190,$6506.19,12/29/2023,600,Prefabricated Aluminum Metal Canopies
191,$1311.75,6/2/2024,600,EIFS
192,$8573.25,12/8/2023,606,Masonry & Precast
193,$4392.80,6/9/2024,608,Waterproofing & Caulking
194,$4053.84,1/31/2024,603,Ornamental Railings
195,$3995.49,12/28/2023,606,Framing (Wood)
196,$1597.07,9/13/2023,610,Sitework & Site Utilities
197,$3893.13,9/10/2023,602,Masonry & Precast
198,$4265.10,3/2/2024,603,Fire Sprinkler System
199,$9262.14,9/13/2023,601,Drywall & Acoustical (MOB)
200,$5107.30,8/13/2024,602,Glass & Glazing
201,$5481.82,3/15/2024,605,Fire Sprinkler System
202,$5979.54,8/12/2024,607,Epoxy Flooring
203,$3581.71,8/10/2024,601,Framing (Steel)
204,$7295.55,12/4/2023,608,Curb & Gutter
205,$7837.14,2/15/2024,609,Ornamental Railings
206,$8014.88,1/10/2024,600,Rebar & Wire Mesh Install
207,$7129.41,12/17/2023,603,"Doors, Frames & Hardware"
208,$5668.76,10/10/2023,606,Retaining Wall and Brick Pavers
209,$8381.63,4/17/2024,608,Prefabricated Aluminum Metal Canopies
210,$2538.50,5/6/2024,609,Drilled Shafts
211,$1289.53,1/18/2024,602,Plumbing & Medical Gas
212,$7072.24,6/11/2024,601,Framing (Steel)
213,$7903.88,5/8/2024,601,Waterproofing & Caulking
214,$4530.22,1/11/2024,603,Fire Protection
215,$5536.18,12/27/2023,602,Drywall & Acoustical (FED)
216,$6286.38,4/19/2024,602,Soft Flooring and Base
217,$4203.08,10/24/2023,603,Masonry & Precast
218,$6623.76,4/17/2024,600,"Doors, Frames & Hardware"
219,$4377.46,12/12/2023,601,Granite Surfaces
220,$2869.77,5/23/2024,610,Masonry & Precast
221,$6300.63,9/6/2023,603,Casework
222,$3476.88,2/15/2024,604,Construction Clean and Final Clean
223,$2134.98,3/25/2024,605,Casework
224,$4783.47,4/27/2024,606,Construction Clean and Final Clean
225,$6250.56,4/17/2024,610,Rebar & Wire Mesh Install
226,$9638.44,3/26/2024,609,Framing (Wood)
227,$9467.86,8/22/2023,606,Roofing (Metal)
228,$4178.97,7/17/2024,608,Electrical
229,$2380.23,6/20/2024,604,Asphalt Paving
230,$6331.80,8/24/2023,604,Drywall & Acoustical (FED)
231,$3954.92,5/21/2024,600,Waterproofing & Caulking
232,$5122.80,8/15/2024,605,Marlite Panels (FED)
233,$6284.59,11/5/2023,610,Electrical and Fire Alarm
234,$4978.03,7/8/2024,604,Granite Surfaces
235,$7911.74,2/28/2024,608,Hard Tile & Stone
236,$1145.43,6/3/2024,603,Fire Sprinkler System
237,$9052.99,8/28/2023,606,Wall Protection
238,$7928.03,6/11/2024,601,Structural & Misc Steel Erection
239,$6471.19,8/22/2023,609,Framing (Wood)
240,$9093.21,4/2/2024,600,Landscaping & Irrigation
241,$5281.28,12/19/2023,602,Fire Protection
242,$5369.00,7/7/2024,609,EIFS
243,$7205.27,10/4/2023,605,Hard Tile & Stone
244,$6697.87,3/5/2024,610,Painting & Vinyl Wall Covering
245,$2165.67,3/12/2024,604,"Doors, Frames & Hardware"
246,$3784.47,7/7/2024,604,Overhead Doors
247,$8349.36,11/6/2023,604,Granite Surfaces
248,$9428.68,10/4/2023,606,Roofing (Metal)
249,$5070.45,7/11/2024,605,RF Shielding
250,$4746.35,4/21/2024,606,Sitework & Site Utilities
251,$6770.42,7/1/2024,605,Glass & Glazing
252,$7188.46,8/21/2023,608,Curb & Gutter
253,$7632.07,10/24/2023,601,Termite Control
254,$9138.32,4/25/2024,605,Structural and Misc Steel (Fabrication)
255,$7480.98,9/18/2023,609,Landscaping & Irrigation
256,$3229.26,7/1/2024,607,Site Furnishings
257,$4437.23,5/3/2024,608,Asphalt Paving
258,$3416.74,11/2/2023,607,Plumbing & Medical Gas
259,$9792.86,1/20/2024,608,Hard Tile & Stone
260,$6197.67,12/13/2023,601,Site Furnishings
261,$7019.53,10/17/2023,601,Roofing (Metal)
262,$8995.82,6/28/2024,608,Termite Control
263,$7916.30,1/19/2024,606,Retaining Wall and Brick Pavers
264,$6771.43,8/4/2024,603,Hard Tile & Stone
265,$4246.37,10/4/2023,602,Site Furnishings
266,$3171.65,11/17/2023,607,Wall Protection
267,$7248.32,11/11/2023,605,Rebar & Wire Mesh Install
268,$3976.08,6/18/2024,602,Electrical
269,$2468.72,6/9/2024,609,Drywall & Acoustical (MOB)
270,$6024.92,3/23/2024,606,Structural & Misc Steel Erection
271,$7848.92,11/14/2023,600,Framing (Steel)
272,$9366.98,2/1/2024,610,Overhead Doors
273,$9410.09,6/24/2024,609,Waterproofing & Caulking
274,$9943.67,6/29/2024,610,Roofing (Metal)
275,$9960.66,1/2/2024,607,Wall Protection
276,$8821.22,7/18/2024,601,Painting & Vinyl Wall Covering
277,$9322.77,9/18/2023,609,Casework
278,$5881.59,4/5/2024,600,Termite Control
279,$3218.26,12/25/2023,603,Rebar & Wire Mesh Install
280,$1638.58,4/26/2024,601,Painting & Vinyl Wall Covering
281,$6297.40,5/15/2024,610,Soft Flooring and Base
282,$1408.79,3/10/2024,610,Elevator
283,$5352.80,1/30/2024,606,Electrical
284,$5930.95,3/17/2024,609,Rebar & Wire Mesh Install
285,$9751.07,10/21/2023,605,Framing (Wood)
286,$4908.72,2/10/2024,600,Prefabricated Aluminum Metal Canopies
287,$2069.66,5/14/2024,607,Marlite Panels (FED)
288,$7585.53,10/11/2023,601,Drywall & Acoustical (FED)
289,$9777.19,1/21/2024,600,EIFS
290,$7448.51,12/12/2023,607,Landscaping & Irrigation
291,$7766.86,4/12/2024,609,Masonry
292,$1818.54,7/27/2024,609,Casework
293,$3237.46,6/7/2024,603,Fire Sprinkler System
294,$8792.75,10/20/2023,610,Site Furnishings
295,$2682.73,3/2/2024,606,Curb & Gutter
296,$5761.13,1/16/2024,603,"Doors, Frames & Hardware"
297,$9298.38,2/1/2024,604,Site Furnishings
298,$3365.70,5/9/2024,608,Plumbing & Medical Gas
299,$2733.59,6/10/2024,605,Drywall & Acoustical (FED)
300,$9102.41,2/1/2024,603,Landscaping & Irrigation
301,$7521.73,3/31/2024,604,Drywall & Acoustical (MOB)
302,$6835.78,7/2/2024,604,Fire Sprinkler System
303,$4242.52,9/29/2023,603,Glass & Glazing
304,$1730.82,8/3/2024,604,Epoxy Flooring
305,$2357.02,12/8/2023,603,Drywall & Acoustical (MOB)
306,$3106.38,4/18/2024,604,Masonry
307,$5869.64,4/20/2024,601,Painting & Vinyl Wall Covering
308,$4232.27,4/17/2024,601,Plumbing & Medical Gas
309,$6554.34,12/11/2023,609,Rebar & Wire Mesh Install
310,$4967.41,12/16/2023,606,Retaining Wall and Brick Pavers
311,$5196.94,2/19/2024,602,Plumbing & Medical Gas
312,$8588.02,12/15/2023,608,Glass & Glazing
313,$6437.06,12/19/2023,609,Retaining Wall and Brick Pavers
314,$3309.19,1/29/2024,604,Electrical
315,$9123.52,11/23/2023,600,Retaining Wall and Brick Pavers
316,$4534.87,8/24/2023,610,Termite Control
317,$3662.27,6/27/2024,609,Retaining Wall and Brick Pavers
318,$9311.58,8/28/2023,601,Sitework & Site Utilities
319,$2591.27,12/30/2023,603,HVAC
320,$1057.83,12/25/2023,606,Wall Protection
321,$8774.88,5/14/2024,603,Plumbing & Medical Gas
322,$1168.02,10/15/2023,609,Roofing (Asphalt)
323,$3389.11,1/6/2024,606,Soft Flooring and Base
324,$2443.66,4/26/2024,609,Overhead Doors
325,$8566.14,1/3/2024,601,Curb & Gutter
326,$3612.46,5/19/2024,603,Casework
327,$2282.95,2/1/2024,606,"Temp Fencing, Decorative Fencing and Gates"
328,$9937.40,3/29/2024,603,Plumbing & Medical Gas
329,$9733.17,5/18/2024,607,Landscaping & Irrigation
330,$5779.31,8/5/2024,610,Fire Protection
331,$3929.08,3/7/2024,610,Construction Clean and Final Clean
332,$1601.78,8/12/2024,609,Rebar & Wire Mesh Install
333,$4020.31,3/25/2024,605,Roofing (Asphalt)
334,$7655.77,2/28/2024,603,Asphalt Paving
335,$6365.04,4/6/2024,604,Roofing (Asphalt)
336,$1013.50,2/28/2024,610,Soft Flooring and Base
337,$9553.14,7/31/2024,610,Asphalt Paving
338,$1172.19,8/7/2024,607,Marlite Panels (FED)
339,$6202.67,6/28/2024,607,Masonry
340,$1768.03,8/19/2023,604,Framing (Wood)
341,$5982.95,10/6/2023,602,Marlite Panels (FED)
342,$1699.16,11/6/2023,609,EIFS
343,$2893.65,5/9/2024,600,Plumbing & Medical Gas
344,$8052.67,5/12/2024,609,Soft Flooring and Base
345,$5521.03,7/22/2024,600,Drywall & Acoustical (MOB)
346,$3324.20,12/18/2023,604,Ornamental Railings
347,$3832.26,3/2/2024,603,Wall Protection
348,$6017.49,10/10/2023,603,Fire Protection
349,$2342.78,1/14/2024,604,Roofing (Asphalt)
350,$1411.79,2/14/2024,607,Epoxy Flooring
351,$6441.52,8/27/2023,603,Landscaping & Irrigation
352,$4647.45,2/18/2024,605,Drywall & Acoustical (FED)
353,$4432.07,9/1/2023,604,Hard Tile & Stone
354,$3627.42,11/6/2023,602,Drilled Shafts
355,$5177.52,6/26/2024,605,Site Furnishings
356,$5281.06,10/12/2023,608,Drywall & Acoustical (FED)
357,$9585.98,9/8/2023,601,"Doors, Frames & Hardware"
358,$1081.16,3/6/2024,601,HVAC
359,$5809.38,1/28/2024,605,Hard Tile & Stone
360,$3643.10,9/16/2023,601,Epoxy Flooring
361,$9988.31,12/15/2023,608,Elevator
362,$7419.44,12/4/2023,605,Rebar & Wire Mesh Install
363,$2290.77,10/10/2023,605,Retaining Wall and Brick Pavers
364,$5007.84,3/20/2024,610,Electrical
365,$4989.83,9/30/2023,604,Landscaping & Irrigation
366,$6326.22,10/6/2023,604,Structural and Misc Steel (Fabrication)
367,$8077.37,4/29/2024,601,Drilled Shafts
368,$5098.09,3/9/2024,603,Epoxy Flooring
369,$7659.60,11/1/2023,607,Electrical
370,$8062.19,9/7/2023,607,Exterior Signage
371,$6387.52,12/18/2023,609,Curb & Gutter
372,$8666.74,12/16/2023,607,Construction Clean and Final Clean
373,$9246.88,7/25/2024,601,Rebar & Wire Mesh Install
374,$2817.46,4/15/2024,603,Marlite Panels (FED)
375,$4376.07,10/22/2023,600,Sitework & Site Utilities
376,$4539.78,12/27/2023,606,Framing (Wood)
377,$9717.49,12/14/2023,604,Retaining Wall and Brick Pavers
378,$8321.03,12/11/2023,601,Site Furnishings
379,$4155.69,5/7/2024,600,Asphalt Paving
380,$3246.66,9/18/2023,600,Fire Protection
381,$1868.83,10/9/2023,600,Marlite Panels (FED)
382,$4092.45,5/26/2024,603,Construction Clean and Final Clean
383,$3719.46,1/6/2024,600,Epoxy Flooring
384,$8117.71,1/22/2024,608,Drilled Shafts
385,$8279.52,8/9/2024,604,Structural & Misc Steel Erection
386,$6501.73,5/9/2024,604,Waterproofing & Caulking
387,$7172.80,7/9/2024,600,Framing (Wood)
388,$6115.64,6/11/2024,603,Waterproofing & Caulking
389,$3877.38,12/17/2023,602,Fire Sprinkler System
390,$7084.52,7/2/2024,602,Glass & Glazing
391,$2247.70,3/20/2024,607,Masonry & Precast
392,$1338.90,6/23/2024,610,Roofing (Asphalt)
393,$9008.03,11/23/2023,607,Roofing (Asphalt)
394,$6207.44,4/23/2024,603,Structural and Misc Steel (Fabrication)
395,$7616.31,9/3/2023,605,Exterior Signage
396,$2323.71,8/2/2024,605,Structural and Misc Steel (Fabrication)
397,$5147.30,9/27/2023,604,Granite Surfaces
398,$9319.74,9/21/2023,610,Structural and Misc Steel (Fabrication)
399,$9031.61,6/9/2024,607,Fire Protection
400,$4494.64,9/24/2023,607,Hard Tile & Stone
401,$5949.42,10/23/2023,610,Framing (Wood)
402,$6853.64,12/23/2023,607,Curb & Gutter
403,$1595.23,9/21/2023,606,Ornamental Railings
404,$2953.25,4/25/2024,605,RF Shielding
405,$2217.13,12/12/2023,605,Structural & Misc Steel Erection
406,$4659.99,3/8/2024,607,Marlite Panels (FED)
407,$3620.95,2/20/2024,602,Wall Protection
408,$5696.61,1/10/2024,601,Painting & Vinyl Wall Covering
409,$8868.59,11/21/2023,603,Sitework & Site Utilities
410,$3818.34,2/3/2024,610,Roofing (Asphalt)
411,$6053.80,2/27/2024,606,Glass & Glazing
412,$3694.92,11/28/2023,608,"Doors, Frames & Hardware"
413,$9178.17,3/24/2024,604,Granite Surfaces
414,$4576.89,6/20/2024,601,Marlite Panels (FED)
415,$4506.58,6/29/2024,608,Construction Clean and Final Clean
416,$9130.42,4/1/2024,609,Electrical
417,$2103.36,8/13/2024,609,Plumbing & Medical Gas
418,$9192.13,11/7/2023,604,Framing (Wood)
419,$9619.58,5/13/2024,602,Roofing (Metal)
420,$6762.93,7/7/2024,604,Drywall & Acoustical (FED)
421,$2241.17,7/11/2024,608,Curb & Gutter
422,$9701.54,8/2/2024,604,Granite Surfaces
423,$3077.39,1/16/2024,609,RF Shielding
424,$2459.49,3/16/2024,603,Structural and Misc Steel (Fabrication)
425,$7286.88,5/27/2024,607,Curb & Gutter
426,$9151.60,3/2/2024,610,RF Shielding
427,$1339.28,12/23/2023,606,Plumbing & Medical Gas
428,$2548.28,2/15/2024,600,Fire Protection
429,$9799.39,11/26/2023,607,Overhead Doors
430,$9746.61,2/2/2024,600,Granite Surfaces
431,$3420.54,8/21/2023,601,HVAC
432,$6176.62,10/27/2023,605,Waterproofing & Caulking
433,$7183.79,2/23/2024,603,Structural & Misc Steel Erection
434,$8000.50,12/1/2023,609,Structural & Misc Steel Erection
435,$7885.58,7/5/2024,600,Sitework & Site Utilities
436,$2849.54,6/1/2024,601,Asphalt Paving
437,$7112.74,4/27/2024,604,Casework
438,$6375.63,5/16/2024,604,Framing (Wood)
439,$9279.14,1/17/2024,608,Retaining Wall and Brick Pavers
440,$9505.23,3/11/2024,608,Granite Surfaces
441,$5124.13,2/24/2024,602,Termite Control
442,$9088.85,7/29/2024,604,Granite Surfaces
443,$4891.30,7/2/2024,602,Epoxy Flooring
444,$5170.45,3/28/2024,600,Glass & Glazing
445,$6586.02,9/10/2023,610,Ornamental Railings
446,$1313.01,3/8/2024,607,Prefabricated Aluminum Metal Canopies
447,$2121.70,10/4/2023,609,"Temp Fencing, Decorative Fencing and Gates"
448,$6420.79,6/21/2024,608,Epoxy Flooring
449,$8226.03,1/25/2024,608,Marlite Panels (FED)
450,$5596.38,6/22/2024,600,Landscaping & Irrigation
451,$8859.21,9/6/2023,609,Site Furnishings
452,$8529.85,1/2/2024,605,Painting & Vinyl Wall Covering
453,$4815.54,11/9/2023,604,Framing (Steel)
454,$1326.16,1/4/2024,600,Structural and Misc Steel (Fabrication)
455,$6423.96,6/21/2024,605,Ornamental Railings
456,$6188.73,10/18/2023,607,Glass & Glazing
457,$8008.36,8/29/2023,602,Masonry
458,$6110.30,10/25/2023,602,Electrical and Fire Alarm
459,$5356.57,8/9/2024,607,Rebar & Wire Mesh Install
460,$9960.00,6/30/2024,605,Painting & Vinyl Wall Covering
461,$6016.76,12/6/2023,606,Masonry
462,$7172.68,10/24/2023,601,Drilled Shafts
463,$7151.80,4/21/2024,606,Overhead Doors
464,$3276.46,4/24/2024,610,Waterproofing & Caulking
465,$9111.02,6/18/2024,605,Construction Clean and Final Clean
466,$4081.48,1/31/2024,607,Structural and Misc Steel (Fabrication)
467,$6278.93,2/4/2024,610,EIFS
468,$4121.10,1/27/2024,600,Ornamental Railings
469,$6730.20,7/7/2024,602,Exterior Signage
470,$4820.30,1/16/2024,600,Wall Protection
471,$8926.35,4/9/2024,602,Masonry
472,$4088.48,3/24/2024,610,Electrical
473,$7581.67,1/6/2024,604,Roofing (Metal)
474,$6947.18,8/27/2023,607,Elevator
475,$6779.66,6/14/2024,607,Wall Protection
476,$6996.96,1/7/2024,608,Site Furnishings
477,$7359.23,7/29/2024,607,Electrical and Fire Alarm
478,$9477.08,12/7/2023,601,Overhead Doors
479,$5232.78,11/7/2023,607,Drywall & Acoustical (FED)
480,$1640.84,1/21/2024,602,Granite Surfaces
481,$6501.98,6/12/2024,601,Structural and Misc Steel (Fabrication)
482,$4870.51,5/29/2024,603,Exterior Signage
483,$8071.95,10/16/2023,610,Roofing (Asphalt)
484,$4086.04,10/20/2023,602,Asphalt Paving
485,$6458.29,3/24/2024,609,Drilled Shafts
486,$4089.62,11/9/2023,604,Electrical
487,$4431.03,10/31/2023,600,Roofing (Metal)
488,$6752.47,1/6/2024,606,Termite Control
489,$6542.81,6/13/2024,600,Epoxy Flooring
490,$4642.40,2/14/2024,605,EIFS
491,$5338.80,6/1/2024,607,"Doors, Frames & Hardware"
492,$7779.18,9/28/2023,608,Drywall & Acoustical (MOB)
493,$9489.29,10/13/2023,610,Sitework & Site Utilities
494,$2987.28,11/18/2023,603,Masonry
495,$8885.20,4/17/2024,603,"Doors, Frames & Hardware"
496,$3559.95,3/6/2024,604,Sitework & Site Utilities
497,$5374.79,6/5/2024,603,Asphalt Paving
498,$7142.37,2/23/2024,606,Rebar & Wire Mesh Install
499,$2709.23,2/24/2024,604,Wall Protection
500,$9178.92,7/10/2024,603,Construction Clean and Final Clean
501,$8120.24,4/17/2024,608,Termite Control
502,$3343.35,4/25/2024,609,Rebar & Wire Mesh Install
503,$1152.15,8/23/2023,609,Plumbing & Medical Gas
504,$2113.94,4/27/2024,606,Granite Surfaces
